    WARNING: 5 (U+0035) is already defined more than once on the keyboard (on VK_B, ShiftState 'Ctl+Alt' and VK_5, ShiftState 'Base').
    WARNING: 3 (U+0033) is already defined more than once on the keyboard (on VK_C, ShiftState 'Ctl+Alt' and VK_3, ShiftState 'Base').
    WARNING: ! (U+0021) is already defined more than once on the keyboard (on VK_F, ShiftState 'Ctl+Alt' and VK_1, ShiftState 'Shift').
    WARNING: & (U+0026) is already defined more than once on the keyboard (on VK_G, ShiftState 'Ctl+Alt' and VK_7, ShiftState 'Shift').
    WARNING: * (U+002a) is already defined more than once on the keyboard (on VK_G, ShiftState 'Shift+Ctl+Alt' and VK_8, ShiftState 'Shift').
    WARNING: % (U+0025) is already defined more than once on the keyboard (on VK_H, ShiftState 'Shift+Ctl+Alt' and VK_5, ShiftState 'Shift').
    WARNING: 7 (U+0037) is already defined more than once on the keyboard (on VK_M, ShiftState 'Ctl+Alt' and VK_7, ShiftState 'Base').
    WARNING: 6 (U+0036) is already defined more than once on the keyboard (on VK_N, ShiftState 'Ctl+Alt' and VK_6, ShiftState 'Base').
    WARNING: @ (U+0040) is already defined more than once on the keyboard (on VK_Q, ShiftState 'Ctl+Alt' and VK_2, ShiftState 'Shift').
    WARNING: # (U+0023) is already defined more than once on the keyboard (on VK_R, ShiftState 'Ctl+Alt' and VK_3, ShiftState 'Shift').
    WARNING: $ (U+0024) is already defined more than once on the keyboard (on VK_T, ShiftState 'Ctl+Alt' and VK_4, ShiftState 'Shift').
    WARNING: ( (U+0028) is already defined more than once on the keyboard (on VK_U, ShiftState 'Ctl+Alt' and VK_9, ShiftState 'Shift').
    WARNING: ) (U+0029) is already defined more than once on the keyboard (on VK_U, ShiftState 'Shift+Ctl+Alt' and VK_0, ShiftState 'Shift').
    WARNING: 4 (U+0034) is already defined more than once on the keyboard (on VK_V, ShiftState 'Ctl+Alt' and VK_4, ShiftState 'Base').
    WARNING: 2 (U+0032) is already defined more than once on the keyboard (on VK_X, ShiftState 'Ctl+Alt' and VK_2, ShiftState 'Base').
    WARNING: 1 (U+0031) is already defined more than once on the keyboard (on VK_Z, ShiftState 'Ctl+Alt' and VK_1, ShiftState 'Base').
    WARNING: 8 (U+0038) is already defined more than once on the keyboard (on VK_OEM_COMMA, ShiftState 'Ctl+Alt' and VK_8, ShiftState 'Base').
    WARNING: 0 (U+0030) is already defined more than once on the keyboard (on VK_OEM_MINUS, ShiftState 'Ctl+Alt' and VK_0, ShiftState 'Base').
    WARNING: 9 (U+0039) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Ctl+Alt' and VK_9, ShiftState 'Base').
    WARNING: ^ (U+005e) is already defined more than once on the keyboard (on VK_OEM_PERIOD, ShiftState 'Shift+Ctl+Alt' and VK_6, ShiftState 'Shift').
    WARNING: _ (U+005f) is already defined more than once on the keyboard (on VK_OEM_4, ShiftState 'Shift' and VK_OEM_1, ShiftState 'Shift').
    WARNING:  (U+001b) is already defined more than once on the keyboard (on VK_OEM_5, ShiftState 'Base' and VK_OEM_PLUS, ShiftState 'Base').
    WARNING: + (U+002b) is already defined more than once on the keyboard (on VK_OEM_6, ShiftState 'Shift' and VK_OEM_1, ShiftState 'Ctl+Alt').
    WARNING:  (U+000d) is already defined more than once on the keyboard (on VK_OEM_7, ShiftState 'Base' and VK_OEM_2, ShiftState 'Base').
    WARNING: - (U+002d) is already defined more than once on the keyboard (on VK_OEM_7, ShiftState 'Shift' and VK_OEM_4, ShiftState 'Base').
    WARNING: = (U+003d) is already defined more than once on the keyboard (on VK_OEM_7, ShiftState 'Ctl+Alt' and VK_OEM_6, ShiftState 'Base').
    WARNING: '' defined on OEM_102 (Base) but not defined elsewhere. This key may not be present on all keyboards.
    WARNING: '' defined on OEM_102 (Ctl+Alt) but not defined elsewhere. This key may not be present on all keyboards.
